ID;Stress;Resolucao;UF;Cidade;Origem_reclamacao;Data_reclamacao;Data_primeira_interacao;Problemas;Nota;Retorno_negocio;Quantidade_interacoes;Data_criacao_ultima_interacao;tempo_espera_primeira;tempo_total_atendimento;dia_semana_reclamacao;dia_semana_primeira_interacao;dia_semana_ultima_interacao;ano_reclamacao;ano_primeira_interacao;ano_ultima_interacao;dia_reclamacao;dia_primeira_interacao;dia_ultima_interacao;mes_reclamacao;mes_primeira_interacao;mes_ultima_interacao;hora_reclamacao;hora_primeira_interacao;hora_ultima_interacao;min_reclamacao;min_primeira_interacao;min_ultima_interacao;grupo_notas
92400567;41,11280429999999;1;18;35;2;2019-06-13 18:28:42;2019-06-14 11:31:43;48;8;1;2;2019-06-14 11:58:06;1023,0166666666667;1049,4;3;4;4;2019;2019;2019;13;14;14;6;6;6;18;11;11;28;31;58;2
92405806;70,82385419;1;8;9;0;2019-06-13 21:50:34;2019-06-17 10:00:31;29;10;1;2;2019-06-17 12:18:54;5049,95;5188,333333333333;3;0;0;2019;2019;2019;13;17;17;6;6;6;21;10;12;50;0;18;2
92404685;39,37085843;0;11;10;1;2019-06-13 21:02:37;2019-06-28 10:26:38;24;0;0;2;2019-07-01 16:47:06;20964,016666666666;25664,483333333334;3;4;0;2019;2019;2019;13;28;1;6;6;7;21;10;16;2;26;47;0
92357931;40,05371977;0;20;81;2;2019-06-12 14:29:00;2019-06-14 16:20:38;38;0;0;2;2019-06-15 10:28:18;2991,633333333333;4079,3;2;4;5;2019;2019;2019;12;14;15;6;6;6;14;16;10;29;20;28;0
92357979;68,45960196;1;20;163;2;2019-06-12 14:30:13;2019-06-13 14:11:45;2;10;1;2;2019-06-19 17:55:29;1421,5333333333333;10285,266666666666;2;3;2;2019;2019;2019;12;13;19;6;6;6;14;14;17;30;11;55;2
92420955;39,52365656;1;15;106;2;2019-06-14 12:32:19;2019-06-14 15:16:36;9;8;1;3;2019-06-18 12:56:41;164,28333333333333;5784,366666666667;4;4;1;2019;2019;2019;14;14;18;6;6;6;12;15;12;32;16;56;2
92456587;57,39442735;0;20;59;1;2019-06-16 08:03:23;2019-06-18 18:10:30;13;5;0;2;2019-06-18 21:04:31;3487,116666666667;3661,133333333333;6;1;1;2019;2019;2019;16;18;18;6;6;6;8;18;21;3;10;4;0
92293995;44,7049226;1;3;52;1;2019-06-10 17:05:23;2019-06-11 14:17:27;8;7;1;2;2019-06-11 17:09:37;1272,0666666666666;1444,2333333333333;0;1;1;2019;2019;2019;10;11;11;6;6;6;17;14;17;5;17;9;1
92295247;37,95964412;1;8;56;1;2019-06-10 17:35:13;2019-06-12 12:18:05;23;7;1;4;2019-06-24 02:02:22;2562,866666666667;19227,15;0;2;0;2019;2019;2019;10;12;24;6;6;6;17;12;2;35;18;2;1
92244405;58,21533481;0;18;13;2;2019-06-08 10:27:56;2019-06-11 11:10:12;46;1;0;3;2019-06-12 10:22:45;4362,266666666666;5754,816666666667;5;1;2;2019;2019;2019;8;11;12;6;6;6;10;11;10;27;10;22;0
